Local authority code ,Local authority name,Year ending Dec 2019,Year ending Dec 2020,Year ending Dec 2021,Year ending Dec 2022,price_change_overall
E06000031,Peterborough,"219,823","232,712","248,498","257,869",17.30756108
E06000032,Luton,"252,254","271,344","287,257","305,891",21.26309196
E06000033,Southend-on-Sea,"323,357","339,541","365,951","391,270",21.00248332
E06000034,Thurrock,"291,721","316,981","337,200","352,589",20.86514169
E06000055,Bedford,"310,890","320,263","348,269","364,156",17.13339123
E06000056,Central Bedfordshire,"342,493","354,712","372,953","383,298",11.91411211
E07000008,Cambridge,"517,589","519,069","546,743","576,958",11.47029786
E07000009,East Cambridgeshire,"328,728","337,109","351,909","367,205",11.70481371
E07000010,Fenland,"211,683","225,975","239,361","253,713",19.85516078
E07000011,Huntingdonshire,"304,885","318,763","329,948","345,124",13.19809108
E07000012,South Cambridgeshire,"417,938","435,557","452,431","494,544",18.32951299
E07000066,Basildon,"339,245","360,639","378,383","408,896",20.53117953
E07000067,Braintree,"315,572","337,344","355,627","373,369",18.31499626
E07000068,Brentwood,"494,315","559,021","577,967","576,213",16.56797791
E07000069,Castle Point,"322,216","338,303","363,637","388,325",20.5169824
E07000070,Chelmsford,"394,379","424,312","431,471","440,915",11.79981693
E07000071,Colchester,"291,706","314,993","335,904","343,044",17.59922662
E07000072,Epping Forest,"554,488","566,703","605,665","618,393",11.52504653
E07000073,Harlow,"310,568","321,221","335,228","343,540",10.61667654
E07000074,Maldon,"364,697","376,196","418,323","430,072",17.92583981
E07000075,Rochford,"366,085","388,161","411,408","437,601",19.53535381
E07000076,Tendring,"261,297","273,665","290,903","301,641",15.43990172
E07000077,Uttlesford,"460,755","488,565","507,245","545,851",18.46881748
E07000095,Broxbourne,"390,557","415,432","429,452","462,512",18.4236872
E07000096,Dacorum,"450,895","489,828","507,114","516,889",14.63622351
E07000098,Hertsmere,"527,055","591,285","643,136","664,547",26.08684103
E07000099,North Hertfordshire,"407,089","446,540","442,030","466,410",14.57199777
E07000102,Three Rivers,"551,544","578,560","624,009","704,466",27.72616509
E07000103,Watford,"407,292","417,829","432,872","453,480",11.34026693
E07000143,Breckland,"245,050","268,273","292,163","307,182",25.35482555
E07000144,Broadland,"277,813","292,539","314,447","343,214",23.54137495
E07000145,Great Yarmouth,"195,140","206,995","227,512","242,621",24.33176181
E07000146,King's Lynn and West Norfolk,"255,936","282,110","296,726","317,593",24.09078832
E07000147,North Norfolk,"292,568","316,358","337,616","364,536",24.59872577
E07000148,Norwich,"227,767","242,327","257,332","271,788",19.32720719
E07000149,South Norfolk,"284,131","302,489","332,105","347,188",22.19293213
E07000200,Babergh,"325,551","345,851","371,081","377,049",15.81871965
E07000202,Ipswich,"222,142","223,774","245,970","255,209",14.88552367
E07000203,Mid Suffolk,"295,802","314,278","342,211","357,179",20.74935261
E07000240,St Albans,"622,751","629,243","684,293","724,098",16.27408065
E07000241,Welwyn Hatfield,"457,267","478,443","505,023","535,686",17.14949909
E07000242,East Hertfordshire,"469,227","488,125","493,573","523,707",11.61058507
E07000243,Stevenage,"290,024","307,787","329,138","346,488",19.46873362
E07000244,East Suffolk,"275,419","305,548","322,541","347,367",26.12310698
E07000245,West Suffolk,"289,240","296,425","318,463","337,883",16.81752178
E09000001,City of London,"1,084,810","1,173,299","937,692","899,997",-17.03643956
E09000002,Barking and Dagenham,"319,431","326,796","340,834","367,809",15.1450548
E09000003,Barnet,"624,121","693,535","719,060","797,167",27.72635434
E09000004,Bexley,"372,487","392,266","412,322","437,999",17.58772789
E09000005,Brent,"584,823","612,322","620,368","711,947",21.73717518
E09000006,Bromley,"498,751","526,746","560,749","599,791",20.258606
E09000007,Camden,"1,157,964","1,141,508","1,188,669","1,221,797",5.512520251
E09000008,Croydon,"414,124","427,728","445,304","470,753",13.6744067
E09000009,Ealing,"565,308","600,439","627,269","677,851",19.9082624
E09000010,Enfield,"481,972","501,368","533,388","563,885",16.99538562
E09000011,Greenwich,"499,132","501,422","504,699","527,237",5.630775025
E09000012,Hackney,"687,528","707,475","692,794","728,655",5.981865466
E09000013,Hammersmith and Fulham,"959,916","992,263","1,002,781","1,001,604",4.342880002
E09000014,Haringey,"662,230","686,024","699,966","783,690",18.34105975
E09000015,Harrow,"494,537","526,742","581,357","610,334",23.41523486
E09000016,Havering,"396,670","412,707","433,567","468,205",18.03388207
E09000017,Hillingdon,"451,310","469,731","493,149","524,610",16.24160776
E09000018,Hounslow,"506,845","556,581","576,283","634,295",25.14575462
E09000019,Islington,"748,598","807,841","840,735","851,181",13.70334946
E09000020,Kensington and Chelsea,"2,116,773","2,220,594","2,244,784","2,458,681",16.15232243
E09000021,Kingston upon Thames,"567,678","624,894","630,493","676,409",19.15363992
E09000022,Lambeth,"655,233","714,754","678,920","680,380",3.837871414
E09000023,Lewisham,"474,082","505,283","518,947","545,600",15.08557591
E09000024,Merton,"638,314","690,849","720,696","770,289",20.67556093
E09000025,Newham,"442,103","440,733","447,867","451,576",2.14271335
E09000026,Redbridge,"463,352","493,563","531,716","541,865",16.94456914
E09000027,Richmond upon Thames,"821,474","884,753","927,150","968,031",17.84073507
E09000028,Southwark,"685,306","673,423","673,945","682,782",-0.368302627
E09000029,Sutton,"423,849","445,622","472,197","498,890",17.70465425
E09000030,Tower Hamlets,"557,087","593,485","642,877","602,350",8.124942783
E09000031,Waltham Forest,"464,876","490,595","521,812","550,168",18.34725819
E09000032,Wandsworth,"762,572","818,474","832,767","878,224",15.16604334
E09000033,Westminster,"1,874,523","1,852,058","1,609,000","1,804,677",-3.726067912
E06000035,Medway,"272,375","288,986","307,633","318,085",16.7820101
E06000036,Bracknell Forest,"402,644","418,558","434,469","455,606",13.153555
E06000037,West Berkshire,"412,151","424,370","438,054","461,432",11.95702546
E06000038,Reading,"350,139","342,015","362,830","403,778",15.3193446
E06000039,Slough,"334,911","349,238","359,916","371,723",10.99157687
E06000040,Windsor and Maidenhead,"579,869","629,469","659,736","697,207",20.23526003
E06000041,Wokingham,"455,929","471,505","491,438","539,510",18.33202099
E06000042,Milton Keynes,"313,073","335,958","347,079","364,248",16.34602792
E06000043,Brighton and Hove,"414,312","438,937","468,473","516,529",24.6715036
E06000044,Portsmouth,"236,680","254,203","266,256","282,268",19.26145006
E06000045,Southampton,"231,210","235,334","248,981","267,822",15.83495524
E06000046,Isle of Wight,"245,521","274,287","298,954","312,013",27.08200113
E06000060,Buckinghamshire,"481,339","511,412","545,257","587,282",22.01005944
E07000061,Eastbourne,"273,293","285,349","304,051","326,857",19.59947748
E07000062,Hastings,"243,125","261,354","297,288","317,958",30.7796401
E07000063,Lewes,"375,102","387,666","434,165","459,498",22.49948014
E07000064,Rother,"331,720","365,175","396,422","420,392",26.73097793
E07000065,Wealden,"372,362","423,365","452,774","489,493",31.45621734
E07000084,Basingstoke and Deane,"345,412","369,716","390,579","412,480",19.41681239
E07000085,East Hampshire,"430,740","454,338","491,775","531,961",23.49932674
E07000086,Eastleigh,"327,598","335,189","355,294","369,779",12.87584173
E07000087,Fareham,"323,407","345,260","365,024","384,435",18.87033985
E07000088,Gosport,"232,639","248,353","254,164","271,167",16.56128164
E07000089,Hart,"450,852","491,578","496,386","537,710",19.26530214
E07000090,Havant,"289,137","319,277","341,292","360,906",24.82179728
E07000091,New Forest,"386,893","439,379","449,518","499,574",29.12459
E07000092,Rushmoor,"313,060","324,136","336,787","355,572",13.57950553
E07000093,Test Valley,"359,451","386,908","417,782","452,169",25.79433636
E07000094,Winchester,"500,448","551,549","557,205","587,214",17.33766545
E07000105,Ashford,"327,413","362,344","371,226","388,273",18.58814403
E07000106,Canterbury,"345,326","359,941","380,079","400,587",16.0025599
E07000107,Dartford,"335,862","339,181","366,689","393,154",17.05819652
E07000108,Dover,"275,097","299,869","326,013","350,022",27.23584772
E07000109,Gravesham,"320,011","341,272","362,121","384,862",20.26524088
E07000110,Maidstone,"341,702","358,847","382,529","403,912",18.20592212
E07000111,Sevenoaks,"516,201","553,254","578,903","626,484",21.36435226
E07000112,Folkestone and Hythe,"288,180","319,306","341,093","365,329",26.77111528
E07000113,Swale,"280,994","295,852","315,224","332,641",18.38010776
E07000114,Thanet,"265,583","286,605","319,454","338,790",27.56464081
E07000115,Tonbridge and Malling,"389,737","414,071","437,294","473,050",21.37672328
E07000116,Tunbridge Wells,"470,659","501,254","529,120","557,460",18.44243922
E07000177,Cherwell,"340,170","357,496","375,312","385,008",13.18105653
E07000178,Oxford,"498,174","554,322","569,511","573,361",15.09251788
E07000179,South Oxfordshire,"476,422","521,753","551,651","567,153",19.04425069
E07000180,Vale of White Horse,"389,320","414,945","439,856","451,690",16.02024042
E07000181,West Oxfordshire,"400,626","424,329","444,594","480,674",19.98073016
E07000207,Elmbridge,"781,202","823,906","877,041","960,812",22.9914926
E07000208,Epsom and Ewell,"513,216","529,081","550,646","620,553",20.91458567
E07000209,Guildford,"545,901","577,949","605,000","648,361",18.76897093
E07000210,Mole Valley,"533,022","608,127","635,406","647,363",21.45145979
E07000211,Reigate and Banstead,"479,312","520,001","537,096","590,054",23.10436626
E07000212,Runnymede,"505,201","564,851","601,334","595,313",17.83686097
E07000213,Spelthorne,"411,596","438,599","439,768","463,369",12.57859649
E07000214,Surrey Heath,"475,322","513,762","509,590","530,482",11.60476477
E07000215,Tandridge,"515,328","564,655","572,300","614,621",19.26792257
E07000216,Waverley,"552,722","613,975","646,349","690,443",24.91686598
E07000217,Woking,"482,599","505,019","531,608","558,985",15.82804772
E07000223,Adur,"333,117","362,677","382,828","425,994",27.8811949
E07000224,Arun,"322,786","347,952","378,705","402,659",24.74487741
E07000225,Chichester,"458,459","512,482","518,996","579,682",26.44140479
E07000226,Crawley,"303,584","320,699","328,853","345,532",13.81759249
E07000227,Horsham,"430,130","470,739","481,225","502,179",16.75051729
E07000228,Mid Sussex,"432,223","439,427","467,948","492,704",13.99300824
E07000229,Worthing,"307,445","327,780","361,667","381,546",24.10219714